DESCRIPCION ;CODIGO_BARRA;FABRICANTE;UNIDAD;PRECIO_NORMAL;SUCURSAL
AMANCAY 100GR PLUMA CH;7.861E+12;LA ESPAﾑOLA;UND;0.18;MILAGRO
AMANCAY 100GR TORNILLO X50U;7.861E+12;LA ESPAﾑOLA;UND;0.18;MILAGRO
AMANCAY 200GR CANASTA /CH;7.861E+12;LA ESPAﾑOLA;UND;0.38;MILAGRO
AMANCAY 200GR CANASTA MD;7.861E+12;LA ESPAﾑOLA;UND;0.38;MILAGRO
AMANCAY 200GR CODITO;7.861E+12;LA ESPAﾑOLA;UND;0.38;MILAGRO
AMANCAY 200GR TORNILLO;7.861E+12;LA ESPAﾑOLA;UND;0.38;MILAGRO
AMANCAY 400GR CABELLO X25U;7.861E+12;LA ESPAﾑOLA;UND;0.59;MILAGRO
AMANCAY 400GR CANASTA CH;7.861E+12;LA ESPAﾑOLA;UND;0.59;MILAGRO
AMANCAY 400GR CANASTA MED;7.861E+12;LA ESPAﾑOLA;UND;0.59;MILAGRO
AMANCAY 400GR CARACOL;7.861E+12;LA ESPAﾑOLA;UND;0.59;MILAGRO
AMANCAY 400GR CODITO X25U(KIFERI);7.861E+12;LA ESPAﾑOLA;UND;0.59;MILAGRO
AMANCAY 400GR FINO;7.861E+12;LA ESPAﾑOLA;UND;0.59;MILAGRO
AMANCAY 400GR LAZO 900;7.861E+12;LA ESPAﾑOLA;UND;0.59;MILAGRO
AMANCAY 400GR MACARRON;7.861E+12;LA ESPAﾑOLA;UND;0.59;MILAGRO
AMANCAY 400GR PLUMA CHICA;7.861E+12;LA ESPAﾑOLA;UND;0.59;MILAGRO
AMANCAY 400GR TORNILLO;7.861E+12;LA ESPAﾑOLA;UND;0.59;MILAGRO
AMANCAY SPAGETTI  200GR.x100U.;7.861E+12;LA ESPAﾑOLA;UND;0.45;MILAGRO
AMANCAY SPAGHETTI 1.000 GR X12U;7.861E+12;LA ESPAﾑOLA;UND;1.35;MILAGRO
AMANCAY SPAGUETTI 400GR- AMARILLO;7.861E+12;LA ESPAﾑOLA;UND;0.55;MILAGRO
AMANCAY TALLARIN #87 400GR;7.86212E+12;LA ESPAﾑOLA;UND;0.77;MILAGRO
AMANCAY ZOO/CHEESE 220GR;7.861E+12;LA ESPAﾑOLA;UND;2;MILAGRO
ANIVENTURAS 12F   X380 GR;7.861E+12;LA ESPAﾑOLA;FUN;1.59;MILAGRO
ANIVENTURAS 40 GR X75U;7.861E+12;LA ESPAﾑOLA;UND;0.26;MILAGRO
APETITAS 135GR TACO VAINILLA X28U;7.86212E+12;LA ESPAﾑOLA;UND;0.36;MILAGRO
APETITAS 380G SAL X12U;7.86212E+12;LA ESPAﾑOLA;UND;1.4;MILAGRO
APETITAS 380G VAINILLA  X12U;7.86212E+12;LA ESPAﾑOLA;UND;1.4;MILAGRO
APETITAS 400G VAINILLA X10U;7.861E+12;LA ESPAﾑOLA;UND;1.02;MILAGRO
APETITAS A RECIBIR N/C.;05anc;LA ESPAﾑOLA;CAJ;20.18;MILAGRO
APETITAS CHOCOLATE 40GR X36U;7.861E+12;LA ESPAﾑOLA;UND;0.19;MILAGRO
APETITAS EXHIBIDOR 4 VAIN 4 SAL X15P;91303457;LA ESPAﾑOLA;PAQ;2.82;MILAGRO
APETITAS LIMON 40 GR X36U;7.861E+12;LA ESPAﾑOLA;UND;0.19;MILAGRO
APETITAS TACO SAL *PAG2.LL3;7.861E+12;LA ESPAﾑOLA;PAQ;1.03;MILAGRO
APETITAS TACO VAINILLA *PAG2.LL3;7.861E+12;LA ESPAﾑOLA;PAQ;1.03;MILAGRO
APETITAS TACO/SAL X135GR. X28U.;7.86212E+12;LA ESPAﾑOLA;UND;0.36;MILAGRO
AROM AER C/FRUTILLA 225GR;7.80504E+12;LA ESPAﾑOLA;UND;2.04;MILAGRO
AROM AER FANT. MARINA 225GR;7.80504E+12;LA ESPAﾑOLA;UND;2.04;MILAGRO
AROM AER LAVANDA 225G;7.80504E+12;LA ESPAﾑOLA;UND;2.04;MILAGRO
AROM AER VAINILLA/FLOR 225GR;7.80504E+12;LA ESPAﾑOLA;UND;2.04;MILAGRO
AMPIBEX 500G       10TX24U;7865TI;LA ESPAﾑOLA;UND;4.8;MILAGRO
AGUA MICELLAR DEEP F.400 ml ALOE;8.68155E+12;LA ESPAﾑOLA;UND;6.78;MILAGRO
AGUA/ROSAS THE FRUIT 300 ML;7.86117E+12;LA ESPAﾑOLA;UND;5.54;MILAGRO
ALCOHOL DROCARAS 120ML;7.86108E+12;LA ESPAﾑOLA;UND;0.5;MILAGRO
ALICATE KY004 ACERO;7.86117E+12;LA ESPAﾑOLA;UND;3.8;MILAGRO
ALICATE KY009 PLASTICO;7.86117E+12;LA ESPAﾑOLA;UND;2;MILAGRO
ALICATE MANO KY008 PLAST.;7.86117E+12;LA ESPAﾑOLA;UND;1.13;MILAGRO
