DESCRIPCION ;CODIGO_BARRA;FABRICANTE;UNIDAD;PRECIO_NORMAL;SUCURSAL
AROMATEL LAVANDA 1650ML   X8U;7.861E+12;LA ESPAﾑOLA;UND;4.74;MILAGRO
AROMATEL MANDARINA TIRA 50ML;7.861E+12;LA ESPAﾑOLA;TIR;2.05;MILAGRO
AROMATEL MANDARINA/FL 115 ML;7.861E+12;LA ESPAﾑOLA;UND;0.37;MILAGRO
AROMATEL MANZANA 115ML;7.861E+12;LA ESPAﾑOLA;UND;0.37;MILAGRO
AROMATEL MANZANA 1650ML   X8U;7.70235E+12;LA ESPAﾑOLA;UND;4.74;MILAGRO
AJONJOLI X15U;7.73644E+12;LA ESPAﾑOLA;PAQ;0.96;MILAGRO
ARROZ CONEJO  X100LB *YAG.;1073;LA ESPAﾑOLA;LIB;0.41;MILAGRO
ALQUILER ESPACIO DE VISIBILIDAD ABRIL/2024;91305483;LA ESPAﾑOLA;UND;172.5;MILAGRO
ACEITE OLD ENGLISH 220ML;7.70263E+12;LA ESPAﾑOLA;UND;3.16;MILAGRO
AIR WICK APARATO + REP.OASIS;7.70262E+12;LA ESPAﾑOLA;UND;8.27;MILAGRO
AIR WICK REPUESTO MAGNOLIA X6U;06WRMG-Und.;LA ESPAﾑOLA;UND;8.21;MILAGRO
AIR WICK REPUESTO MANZANA X6U;06WRM-Und.;LA ESPAﾑOLA;UND;8.21;MILAGRO
AIRWICK RPTO. LIRIOS/ LUNA;8.4101E+12;LA ESPAﾑOLA;UND;9.04;MILAGRO
AIRWICK RPTO.MZ. CANELA;7.50106E+12;LA ESPAﾑOLA;UND;9.04;MILAGRO
APLANCHADOS BRIGITH 100GR;7.868E+12;LA ESPAﾑOLA;UND;0.95;MILAGRO
AGUA 500ML A.W.A.x24U;7.861E+12;LA ESPAﾑOLA;UND;0.26;MILAGRO
